Year,SMALL LoBETA,ME1 BETA2,ME1 BETA3,ME1 BETA4,SMALL HiBETA,ME2 BETA1,ME2 BETA2,ME2 BETA3,ME2 BETA4,ME2 BETA5,ME3 BETA1,ME3 BETA2,ME3 BETA3,ME3 BETA4,ME3 BETA5,ME4 BETA1,ME4 BETA2,ME4 BETA3,ME4 BETA4,ME4 BETA5,BIG LoBETA,ME5 BETA2,ME5 BETA3,ME5 BETA4,BIG HiBETA
196912,-8.0345,-7.2663,-8.7076,-6.9406,-8.6169,-4.8893,-5.7636,-5.9959,-4.914,-7.5132,-4.5472,-3.902,-2.787,-4.8948,-4.5844,-0.9427,-1.6794,-2.1981,-3.3169,-1.4137,-1.3891,-0.4747,-1.9267,-2.7076,-5.8417
197001,0.8012,-1.5129,-2.4969,-2.2745,-4.5838,0.565,-2.9917,-1.6556,-6.6088,-8.5949,-1.2417,-4.9271,-7.3836,-7.8671,-10.304,-4.9395,-6.4758,-9.2464,-9.6858,-9.9503,-6.9222,-7.5524,-8.4191,-10.0093,-16.0392
197002,1.4599,3.5108,1.7232,4.2677,3.1916,4.7388,2.7091,1.7702,7.0669,4.0372,4.1799,5.167,2.4224,4.5402,6.0195,6.4249,4.0891,6.8359,5.5279,8.1145,6.6282,5.1588,5.1946,6.6828,2.5718
197003,0.5319,-1.198,-2.1558,-2.2444,-5.1061,1.5984,1.0275,0.9732,-3.1052,-6.6225,4.0435,-0.4074,-0.0617,-2.1677,-3.7177,0.8944,0.3847,0.9544,-0.8878,-2.7365,0.6481,-0.0975,-0.0367,-1.8256,-6.0207
197004,-10.9777,-12.3624,-13.2431,-16.9407,-22.0991,-11.4338,-12.2123,-15.2596,-15.4967,-21.4429,-8.3073,-12.6695,-13.0519,-14.4245,-19.5629,-7.0735,-10.8122,-12.7073,-13.4975,-17.5381,-8.066,-8.4595,-10.8062,-10.4541,-18.4967
197005,-8.4728,-8.1588,-9.5531,-9.9697,-9.3033,-7.9517,-8.4765,-7.3946,-13.5886,-10.6514,-4.9217,-8.241,-12.3389,-11.5038,-11.6891,-6.0682,-7.0498,-10.947,-12.8157,-9.3255,-3.004,-6.0107,-8.5382,-8.1656,-10.0687
197006,-2.3401,-5.8022,-6.3816,-8.3394,-12.031,-4.8046,-6.627,-5.6704,-8.5187,-11.2436,-1.7577,-6.8775,-6.0578,-8.9958,-8.5064,-3.0742,-3.0789,-4.2424,-6.0648,-6.0981,-4.1838,-4.8014,-5.721,-9.4654,-12.8205
197007,2.8308,3.3569,5.1946,5.8276,5.6637,7.6642,5.8895,8.8043,8.1203,6.62,3.7879,8.222,8.0855,8.9406,7.6779,8.2232,6.4026,11.69,9.9742,9.468,8.2615,5.6986,7.1983,11.4792,2.7642
197008,4.2937,4.2525,5.9794,6.9307,7.0687,3.746,4.1877,5.7685,8.777,10.5636,4.7423,3.8949,6.2287,7.6357,10.6867,3.3393,6.4449,3.3026,7.8686,12.7811,3.7416,5.3998,5.6926,8.3521,6.1104
197009,5.5533,9.2408,10.2249,13.2894,20.5837,6.1798,7.7487,9.106,12.7756,19.9037,1.4175,5.9525,8.8184,10.1752,21.1999,2.6505,4.4768,9.4369,6.9745,10.6952,1.2284,4.2946,4.6414,7.6078,18.1664
197010,-1.564,-4.4221,-4.0271,-7.0629,-12.1523,-0.7957,-3.1519,-4.3858,-5.6171,-9.222,-0.4425,-2.6523,-2.6871,-6.6542,-11.3854,-0.7142,-2.5542,-3.2256,-3.5234,-7.916,0.3646,-0.294,-3.0447,-7.3067,-8.528
197011,-0.6174,-1.6379,1.0003,-1.4822,-2.471,4.2707,4.0356,3.0173,3.8254,0.4078,5.701,2.9741,2.8635,3.9792,2.6695,7.0838,4.4626,5.7565,3.1296,4.7341,5.903,5.2684,5.3065,7.9946,1.5294
197012,8.7427,7.6053,11.0253,9.3673,8.6884,5.9297,6.2352,11.3071,10.5397,7.3083,5.0458,9.8596,9.8647,9.4217,6.0123,7.1993,9.238,8.6248,8.4483,8.2663,4.9548,6.0378,5.6199,4.243,4.4445
197101,8.2901,12.2143,15.418,15.2854,16.5563,8.48,10.8067,7.9539,11.4658,14.5202,4.3793,7.4481,7.4487,11.1532,12.9294,4.7343,6.9601,7.1772,9.2123,12.6848,2.7851,3.4612,7.191,9.333,9.8458
197102,3.5956,4.838,4.3178,4.8845,5.4876,-0.023,1.0968,3.406,2.2387,2.5235,1.9572,3.6506,2.9232,1.6996,2.3518,-0.1638,2.9062,3.203,2.8284,4.2119,0.7822,1.9564,1.7942,-0.1485,-0.3449
197103,3.9914,4.7158,8.1242,5.526,5.7591,2.6281,7.2636,2.6552,4.9252,6.5015,0.9856,5.5256,5.2695,6.6487,11.5672,3.5306,4.566,4.779,4.0892,9.4956,2.8021,4.4859,5.2218,6.6186,2.9759
197104,-0.0706,1.6934,2.6776,1.5874,2.5075,3.322,2.4929,2.7602,4.2611,3.2475,-0.1026,4.0629,4.8475,8.0865,5.2736,-0.5983,4.793,7.3332,4.034,5.4143,2.4762,4.0853,4.5008,9.0063,10.2319
197105,-4.7772,-3.9226,-4.9851,-7.0029,-7.6097,-2.7467,-5.5499,-3.2014,-4.4826,-6.4288,-3.9462,-2.5059,-3.6011,-4.395,-4.7718,-3.9906,-3.6043,-3.3744,-4.9834,-2.8923,-3.2547,-4.5544,-2.5709,-0.4411,-5.4487
